2021-04-24 16:53:34,460 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [STATEMENTS_WITH_TEMP_TABLES] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$SCHEMA_TABLE_STATISTICS_WITH_BUFFER] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$SESSION] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENTS_WITH_ERRORS_OR_WARNINGS] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENTS_WITH_FULL_TABLE_SCANS] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENTS_WITH_RUNTIMES_IN_95TH_PERCENTILE] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENTS_WITH_SORTING] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENTS_WITH_TEMP_TABLES] exists in the database but has no corresponding entity
2021-04-24 16:53:34,461 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$STATEMENT_ANALYSIS] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY_BY_FILE_IO] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY_BY_FILE_IO_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY_BY_STAGES] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY_BY_STATEMENT_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$USER_SUMMARY_BY_STATEMENT_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$WAITS_BY_HOST_BY_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$WAITS_BY_USER_BY_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$WAITS_GLOBAL_BY_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$WAIT_CLASSES_GLOBAL_BY_AVG_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,462 |OFBiz-batch-2        |DatabaseUtil                  |W| Table named [X$WAIT_CLASSES_GLOBAL_BY_LATENCY] exists in the database but has no corresponding entity
2021-04-24 16:53:34,545 |OFBiz-batch-1        |DatabaseUtil                  |I| Created 3 foreign keys for entity [SalesInvoiceItemFact]
2021-04-24 16:53:34,597 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 foreign key indices for entity [EbayConfig]
2021-04-24 16:53:34,748 |pool-4-thread-1      |DatabaseUtil                  |I| Created 4 foreign key indices for entity [EbayShippingMethod]
2021-04-24 16:53:34,853 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 foreign key indices for entity [Example]
2021-04-24 16:53:34,936 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [ExampleFeature]
2021-04-24 16:53:35,091 |pool-4-thread-1      |DatabaseUtil                  |I| Created 3 foreign key indices for entity [ExampleFeatureAppl]
2021-04-24 16:53:35,094 |OFBiz-batch-1        |DatabaseUtil                  |I| Created 3 foreign keys for entity [SalesOrderItemFact]
2021-04-24 16:53:35,094 |OFBiz-batch-1        |DatabaseUtil                  |I| ==== TOTAL Foreign Keys Created: 9
2021-04-24 16:53:35,141 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [ExampleFeatureApplType]
2021-04-24 16:53:35,224 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 foreign key indices for entity [ExampleItem]
2021-04-24 16:53:35,232 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [CurrencyDimension]
2021-04-24 16:53:35,356 |pool-4-thread-1      |DatabaseUtil                  |I| Created 3 foreign key indices for entity [ExampleStatus]
2021-04-24 16:53:35,361 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [DateDimension]
2021-04-24 16:53:35,404 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [ExampleType]
2021-04-24 16:53:35,465 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [InventoryItemFact]
2021-04-24 16:53:35,574 |pool-4-thread-1      |DatabaseUtil                  |I| Created 3 foreign key indices for entity [ExcelImportHistory]
2021-04-24 16:53:35,595 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ProductDimension]
2021-04-24 16:53:35,620 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [GitHubUser]
2021-04-24 16:53:35,673 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [LinkedInUser]
2021-04-24 16:53:35,701 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [SalesInvoiceItemFact]
2021-04-24 16:53:35,724 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [OAuth2GitHub]
2021-04-24 16:53:35,766 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [OAuth2LinkedIn]
2021-04-24 16:53:35,800 |pool-2-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [SalesOrderItemFact]
2021-04-24 16:53:35,800 |OFBiz-batch-1        |DatabaseUtil                  |I| ==== TOTAL Declared Indices Created: 12
2021-04-24 16:53:35,838 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 foreign key indices for entity [PosTerminalInternTx]
2021-04-24 16:53:35,959 |pool-4-thread-1      |DatabaseUtil                  |I| Created 4 foreign key indices for entity [PosTerminalLog]
2021-04-24 16:53:35,994 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [PosTerminalState]
2021-04-24 16:53:36,032 |pool-4-thread-1      |DatabaseUtil                  |I| Created 1 foreign key indices for entity [ThirdPartyLogin]
2021-04-24 16:53:36,032 |OFBiz-batch-2        |DatabaseUtil                  |I| ==== TOTAL Foreign Key Indices Created: 34
2021-04-24 16:53:36,248 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 2 foreign keys for entity [EbayConfig]
2021-04-24 16:53:36,733 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 4 foreign keys for entity [EbayShippingMethod]
2021-04-24 16:53:36,919 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 2 foreign keys for entity [Example]
2021-04-24 16:53:37,029 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [ExampleFeature]
2021-04-24 16:53:37,362 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 3 foreign keys for entity [ExampleFeatureAppl]
2021-04-24 16:53:37,453 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [ExampleFeatureApplType]
2021-04-24 16:53:37,633 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 2 foreign keys for entity [ExampleItem]
2021-04-24 16:53:38,034 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 3 foreign keys for entity [ExampleStatus]
2021-04-24 16:53:38,122 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [ExampleType]
2021-04-24 16:53:38,458 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 3 foreign keys for entity [ExcelImportHistory]
2021-04-24 16:53:38,551 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [GitHubUser]
2021-04-24 16:53:38,646 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [LinkedInUser]
2021-04-24 16:53:38,783 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [OAuth2GitHub]
2021-04-24 16:53:38,865 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [OAuth2LinkedIn]
2021-04-24 16:53:39,119 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 2 foreign keys for entity [PosTerminalInternTx]
2021-04-24 16:53:39,641 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 4 foreign keys for entity [PosTerminalLog]
2021-04-24 16:53:39,729 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [PosTerminalState]
2021-04-24 16:53:39,830 |OFBiz-batch-2        |DatabaseUtil                  |I| Created 1 foreign keys for entity [ThirdPartyLogin]
2021-04-24 16:53:39,830 |OFBiz-batch-2        |DatabaseUtil                  |I| ==== TOTAL Foreign Keys Created: 34
2021-04-24 16:53:39,905 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [EbayConfig]
2021-04-24 16:53:39,968 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [EbayShippingMethod]
2021-04-24 16:53:40,089 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [Example]
2021-04-24 16:53:40,165 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleFeature]
2021-04-24 16:53:40,236 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleFeatureAppl]
2021-04-24 16:53:40,332 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleFeatureApplType]
2021-04-24 16:53:40,396 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleItem]
2021-04-24 16:53:40,465 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleStatus]
2021-04-24 16:53:40,535 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExampleType]
2021-04-24 16:53:40,602 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ExcelImportHistory]
2021-04-24 16:53:40,669 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [GitHubUser]
2021-04-24 16:53:40,729 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [LinkedInUser]
2021-04-24 16:53:40,789 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [OAuth2GitHub]
2021-04-24 16:53:40,845 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [OAuth2LinkedIn]
2021-04-24 16:53:40,925 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [PosTerminal]
2021-04-24 16:53:40,994 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [PosTerminalInternTx]
2021-04-24 16:53:41,121 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [PosTerminalLog]
2021-04-24 16:53:41,200 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [PosTerminalState]
2021-04-24 16:53:41,268 |pool-4-thread-1      |DatabaseUtil                  |I| Created 2 declared indices for entity [ThirdPartyLogin]
2021-04-24 16:53:41,268 |OFBiz-batch-2        |DatabaseUtil                  |I| ==== TOTAL Declared Indices Created: 38
2021-04-24 16:53:41,370 |kJoinPool-1-worker-2 |EntityEcaUtil                 |I| Loaded [4] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/workeffort/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,372 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [11] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/content/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,375 |kJoinPool-1-worker-0 |EntityEcaUtil                 |I| Loaded [2] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,380 |kJoinPool-1-worker-2 |EntityEcaUtil                 |I| Loaded [3] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/order/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,396 |kJoinPool-1-worker-0 |EntityEcaUtil                 |I| Loaded [1] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/projectmgr/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,406 |kJoinPool-1-worker-0 |EntityEcaUtil                 |I| Loaded [0] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/solr/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,409 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [15] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/lucene/entitydef/eecas_product.xml in loader main
2021-04-24 16:53:41,414 |kJoinPool-1-worker-3 |EntityEcaUtil                 |I| Loaded [14] Entity ECA definitions from /home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/product/entitydef/eecas.xml in loader main
2021-04-24 16:53:41,434 |OFBiz-batch-5        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/common/servicedef/groups_test.xml
2021-04-24 16:53:41,441 |OFBiz-batch-5        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/entityext/servicedef/groups.xml
2021-04-24 16:53:41,461 |OFBiz-batch-5        |ServiceGroupReader            |I| Loaded [2] Group definitions from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/workeffort/servicedef/service_groups.xml
2021-04-24 16:53:41,469 |OFBiz-batch-5        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/product/servicedef/groups.xml
2021-04-24 16:53:41,477 |OFBiz-batch-5        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/servicedef/groups.xml
2021-04-24 16:53:41,492 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/common/servicedef/secas_cdyne.xml
2021-04-24 16:53:41,503 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/common/servicedef/secas_test.xml
2021-04-24 16:53:41,503 |kJoinPool-1-worker-0 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/service/servicedef/secas_test_se.xml
2021-04-24 16:53:41,510 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [23] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/party/servicedef/secas.xml
2021-04-24 16:53:41,521 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [26] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/product/servicedef/secas.xml
2021-04-24 16:53:41,525 |kJoinPool-1-worker-0 |ServiceEcaUtil                |I| Loaded [10] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/workeffort/servicedef/secas.xml
2021-04-24 16:53:41,536 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [23] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/product/servicedef/secas_shipment.xml
2021-04-24 16:53:41,543 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/content/servicedef/secas.xml
2021-04-24 16:53:41,554 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [4] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/manufacturing/servicedef/secas.xml
2021-04-24 16:53:41,561 |kJoinPool-1-worker-0 |ServiceEcaUtil                |I| Loaded [22] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/servicedef/secas.xml
2021-04-24 16:53:41,568 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [8] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/servicedef/secas_payment.xml
2021-04-24 16:53:41,582 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [22] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/servicedef/secas_ledger.xml
2021-04-24 16:53:41,586 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [6] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/accounting/servicedef/secas_invoice.xml
2021-04-24 16:53:41,610 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/assetmaint/servicedef/secas.xml
2021-04-24 16:53:41,621 |kJoinPool-1-worker-0 |ServiceEcaUtil                |I| Loaded [79] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/order/servicedef/secas.xml
2021-04-24 16:53:41,621 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/commonext/servicedef/secas.xml
2021-04-24 16:53:41,630 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [10] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/applications/marketing/servicedef/secas.xml
2021-04-24 16:53:41,639 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/bi/servicedef/secas.xml
2021-04-24 16:53:41,642 |kJoinPool-1-worker-0 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/example/servicedef/secas.xml
2021-04-24 16:53:41,646 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [9] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/scrum/servicedef/secas.xml
2021-04-24 16:53:41,650 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [1] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/ebay/servicedef/secas.xml
2021-04-24 16:53:41,654 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/plugins/solr/servicedef/secas.xml
2021-04-24 16:53:41,802 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [2] Services from file:/home/pradeep/Desktop/apache-ofbiz-17.12.05/framework/common/servicedef/services_cdyne.xml
